tau_1,tau_2,patch_acc_multi,patch_f1_macro,patch_pre_macro,patch_rec_macro,patch_f1_weighted,patch_pre_weighted,patch_rec_weighted,patch_f1_micro,patch_acc_bin,patch_f1_bin,patch_pre_bin,patch_rec_bin
0.09,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.09,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.09,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.09,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.09,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.09,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.09,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.09,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.09,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.09,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.1,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.1,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.1,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.1,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.1,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.1,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.1,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.1,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.1,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.1,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.1,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.11,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.11,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.11,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.11,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.11,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.11,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.11,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.11,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.11,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.11,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.11,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.11,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.12,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.12,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.12,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.12,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.12,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.12,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.12,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.12,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.12,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.12,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.12,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.12,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.12,0.12,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.13,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.13,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.13,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.13,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.13,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.13,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.13,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.13,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.13,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.13,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.13,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.13,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.13,0.12,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.13,0.13,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.14,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.14,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.14,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.14,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.14,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.14,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.14,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.14,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.14,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.14,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.14,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.14,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.14,0.12,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.14,0.13,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.14,0.14,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.15,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.15,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.15,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.15,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.15,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.15,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.15,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.15,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.15,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.15,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.15,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.15,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.15,0.12,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.15,0.13,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.15,0.14,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.15,0.15,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.16,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.16,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.16,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.16,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.16,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.16,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.16,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.16,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.16,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.16,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.16,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.16,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.16,0.12,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.16,0.13,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.16,0.14,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.16,0.15,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.16,0.16,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.17,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.17,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.17,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.17,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.17,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.17,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.17,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.17,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.17,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.17,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.17,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.17,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.17,0.12,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.17,0.13,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.17,0.14,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.17,0.15,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.17,0.16,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.17,0.17,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.18,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.18,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.18,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.18,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.18,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.18,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.18,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.18,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.18,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.18,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.18,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.18,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.18,0.12,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.18,0.13,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.18,0.14,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.18,0.15,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.18,0.16,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.18,0.17,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.18,0.18,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.19,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.19,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.19,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.19,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.19,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.19,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.19,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.19,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.19,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
0.19,0.09,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.19,0.1,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.19,0.11,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.19,0.12,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.19,0.13,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.19,0.14,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
0.19,0.15,0.9716,0.837,0.8729,0.8152,0.97,0.9705,0.9716,0.9716,0.9867,0.9346,1.0,0.8772
